marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
i due fratellini prendono la scatola e cominciano a contendersela. tira e tira, i pop corn cadono a terra.||||DUE+FRATELLINO+SCATOLA+PRENDERE(PRESENTE)+CONTENDERE+POP+CORN+TERRA+CADERE(PRESENTE)
mentre i bambini guardano dispiaciuta il disastro appena combinato, il papà interviene e arrabbiato riporta a casa i due fratellini senza vedere il film.||||BAMBINO+DISASTRO+GUARDARE(PRESENTE)+PAPÀ+INTERVENIRE(PRESENTE)+ARRABBIATO+CASA+RITORNARE(PRESENTE)+DUE+FRATELLINO+SENZA+VEDERE(PRESENTE)+FILM
sicuramente andrea e davide si ricorderanno a lungo di questa punizione!||||ANDREA+DAVIDE+PUNIZIONE+RICORDARE(FUTURO)+LUNGO
dammi il fucile di mio padre: cercherò di cacciare qualche animale.||||FUCILE+PADRE+IO+(FUTURO)+CERCARE+ANIMALE
la madre glielo dette insieme alla sua benedizione e mussadal si recò nel bosco.||||MADRE+FUCILE+BENEDIZIONE+DARE+MUSSADAL+BOSCO+(PASSATO)+ANDARE
cercò invano la preda per tutto il giorno e, al calar della sera, siccome era molto lontano da casa, decise di salire su un albero e passar lì la notte, per non essere attaccato dalle bestie feroci.||||MUSSADAL+PREDA+INVANO+(PASSATO)+CERCARE+SERA+LONTANO+CASA+ALBERO+NOTTE+(PASSATO)+SALIRE+(PASSATO)+PASSARE+BESTIA+FEROCE+NON+(PASSATO)+ATTACCARE
sul far dell’alba si svegliò e vide che proprio sotto l’albero si erano radunati quattro stupendi animali da pelliccia.||||ALBA+MUSSADAL+(PASSATO)+SVEGLIARE+ALBERO+SOTTO+QUATTRO+ANIMALE+PELLICCIA+BELLO+(PASSATO)+RIUNIRE
mussadal impugnò il fucile, mirò e colpì in pieno uno dei quattro, mentre gli altri fuggivano.||||MUSSADAL+FUCILE+(PASSATO)+IMPUGNARE+(PASSATO)+MIRARE+(PASSATO)+COLPIRE+UNO+QUATTRO+ALTRO+(PASSATO)+FUGGIRE
scese dall’albero, scuoiò la bestia e portò le carni e la pelliccia a sua madre, che gli disse:||||MUSSADAL+ALBERO+(PASSATO)+SCENDERE+BESTIA+(PASSATO)+SCUOIARE+CARNE+PELLICCIA+MADRE+PORTARE+MADRE+DIRE
vai a vendere questa pelle nella capitale: vedrai che ti offriranno una bella somma.||||PELLE+CAPITALE+TU+(FUTURO)+VENDERE+TU+(FUTURO)+VEDERE+SOMMA+BELLA+(FUTURO)+OFFRIRE
mussadal si recò nella piazza del palazzo reale e quando passò il gran visir gli offrì la pelle.||||MUSSADAL+PIAZZA+PALAZZO+REALE+(PASSATO)+ANDARE+VISIR+GRANDE+PASSARE+MUSSADAL+PELLE+(PASSATO)+OFFRIRE
il sovrano approvò con entusiasmo l’acquisto del suo visir, ma, siccome era un uomo avido ed esigente, disse:||||SOVRANO+ACQUISTO+VISIR+ENTUSIASMO+(PASSATO)+APPROVARE+SOVRANO+AVIDO+ESIGENTE+UOMO+DIRE
voglio che il cacciatore che ha ucciso l’animale mi porti altre dieci pelli come questa, pena la morte.||||SOVRANO+CACCIATORE+ANIMALE+(PASSATO)+UCCIDERE+IO+ALTRO+DIECI+PELLE+COME+QUESTO+MORTALITÀ+PENA+(FUTURO)+PORTARE
la settimana seguente, quando mussadal si fece rivedere nella piazza del palazzo reale, il visir gli comunicò l’ordine del sovrano e lo fece riaccompagnare subito a casa da due guardie, perché egli non se la svignasse senza farsi più vedere e senza obbedire all’ordine reale.||||SETTIMANA+PROSSIMO+MUSSADAL+PIAZZA+PALAZZO+REALE+(PASSATO)+RIVEDERE+VISIR+ORDINE+SOVRANO+COMUNICARE+GUARDIA+DUE+CASA+(PASSATO)+RIACCOMPAGNARE+PERCHÉ+SVIGNARSI+NON+PIÙ+VEDERE+SENZA+ORDINE+REALE+OBBEDIRE+SENZA
la madre di mussadal lo consigliò così:||||MADRE+MUSSADAL+COSÌ+CONSIGLIARE
chiedi al sovrano quaranta cammelli, ciascuno carico di due otri di vino e quaranta giorni di tempo per procurare le dieci pelli.||||TU+SOVRANO+CHIEDERE+CAMELLO+QUARANTA+OGNUNO+CARICO+OTRI+DUE+VINO+TEMPO+GIORNO+QUARANTA+DIECI+PELLE+(FUTURO)+PROCURARE
il sovrano acconsentì alle richieste del giovane e questi, sempre su consiglio della madre, scavò una gran fossa presso la fonte dove gli animali andavano a bere e la riempì tutta di vino.||||SOVRANO+RICHIESTA+GIOVANE+(PASSATO)+ACCONSENTIRE+GIOVANE+SEMPRE+CONSIGLIO+MADRE+FONTE+FOSSA+GRANDE+(PASSATO)+SCAVARE+ANIMALE+VINO+(PASSATO)+RIEMPIRE+(PASSATO)+ANDARE+BERE
poi nascose la sorgente sotto molti rami d’albero, salì su un salice che cresceva lì accanto e attese.||||POI+SORGENTE+RAMO+ALBERO+MOLTO+NASCONDERE+SALICE+ACCANTO+(PASSATO)+SALIRE+(PASSATO)+ATTENDERE
vennero molti animali da pelliccia che bevvero dalla fossa quella che credevano fosse acqua ed era invece vino.||||ANIMALE+PELLICCIA+MOLTO+FOSSA+(PASSATO)+VENIRE+BEVERE+ACQUA+CREDERE+INVECE+VINO
si ubriacarono a tal punto che non poterono più muoversi.||||UBRIACARE+TANTO+NON+PIÙ+(PASSATO)+POTERE+MUOVERE
per mussadal fu uno scherzo uccidere altri dieci animali da pelliccia!||||MUSSADAL+SCHERZO+ALTRO+DIECI+ANIMALE+PELLICCIA+(PASSATO)+UCCIDERE
mussadal proseguì la strada e, cammin facendo, si procurò da un contadino sette bufali enormi.||||MUSSADAL+STRADA+(CONTINUARE,+PASSATO)+CONTADINO+BUFALO+SETTE+ENORME+(PRENDERE,+PASSATO)
quando si imbattè nel terzo folletto che gli sbarrò il passo, fu pronto ad offrirgli i sette animali come pedaggio.||||MUSSADAL+FOLLETTO+TERZO+(IMBATTERSI,+PASSATO)+FOLLETTO+(BLOCCARE,+PASSATO)+BUFALO+SETTE+(OFFRIRE,+PASSATO)+PEDAGGIO
grazie esclamò il terzo folletto leccandosi i baffi ti voglio ricompensare! prendi questi due peli delle mie sopracciglia.||||FOLLETTO+TERZO+GRAZIE+PELO+SOPRACCIGLIA+DUE+(DARE,+PASSATO)+RICOMPENSA+(VOLERE,+PASSATO)
quando sarai in difficoltà strofinali tra le dita ed io verrò in tuo soccorso in un baleno, perché sono più veloce del vento.||||DIFFICOLTÀ+(TROVARE,+FUTURO)+PELO+(STROFINARE,+FUTURO)+FOLLETTO+(VENIRE,+FUTURO)+SOCORSO+VELOCE+VENTO
mussadal proseguì la strada e giunse presto nel regno di taruapai.||||MUSSADAL+STRADA+(CONTINUARE,+PASSATO)+REGNO+TARUAPAI+(ARRIVARE,+PASSATO)
si presentò al re chiedendogli la mano della figlia rossana.||||MUSSADAL+RE+(PRESENTARSI,+PASSATO)+MANO+FIGLIA+ROSSANA+(CHIEDERE,+PASSATO)
per avere mia figlia in moglie devi superare tre difficili prove rispose il sovrano.||||RE+PROVA+TRE+DIFFICILE+(DOVERE,+FUTURO)+SUPERARE
sono pronto!  replicò il giovane.  qual è la prima?||||MUSSADAL+PRONTO+(ESSERE,+PASSATO)+PROVA+PRIMA+(CHIEDERE,+PASSATO)
devi gareggiare con sei concorrenti. ognuno sarà chiuso in una stanza con sette barili colmi di carne d’agnello e chi mangerà più degli altri sarà il vincitore.||||GAREGGIARE+(DOVERE,+FUTURO)+CONCORRENTE+SEI+STANZA+CHIUDERE+(FUTURO)+BARILE+SETTE+CARNE+AGNELLO+MANGIARE+(PIÙ,+FUTURO)+VINCITORE+(ESSERE,+FUTURO)
il mattino seguente il giovane si trovò chiuso in una stanza, come gli altri sei concorrenti, e davanti gli furono posti sette barili colmi di carne.||||MATTINO+SEGUENTE+MUSSADAL+STANZA+CHIUSO+(TROVARE,+PASSATO)+CONCORRENTE+SEI+BARILE+SETTE+CARNE+(METTERE,+PASSATO)
mussadal strofinò tra le dita i peli della barba del primo folletto, che gli fu subito accanto e si mise a mangiare con entusiasmo.||||MUSSADAL+PELO+(STROFINARE,+PASSATO)+FOLLETTO+PRIMO+(VENIRE,+PASSATO)+MANGIARE+ENTUSIASMO
gli altri sei concorrenti arrivarono a divorare chi tre, chi anche quattro barili di carne, ma non di più.||||CONCORRENTE+SEI+MANGIARE+(ARRIVARE,+PASSATO)+BARILE+TRE+BARILE+QUATTRO+CARNE
il folletto, invece, dopo aver leccato anche il fondo del dei sette barili, disse a mussadal:||||FOLLETTO+BARILE+SETTE+FONDO+(LEC...
ti resta però la terza disse e avrai ancora sei rivali.||||TERZA+RIMANERE+SEI+RIVALI+(AVERE+PRESENTE)
in che cosa consiste? chiese mussadal.||||MUSSADAL+CONSISTERE+(CHIEDERE+PRESENTE)
ad ognuno dei sette concorrenti in gara sarà data una lettera da portare al re del paese che confina con il mio regno.||||SETTE+CONCORRENTI+LETTERA+RE+PAESE+CONFINANTE+(DARE+FUTURO)
chi raggiungerà la capitale di quel paese, consegnerà la lettera al mio amico e mi porterà la risposta più in fretta degli altri, sarà il vincitore.||||CHI+CAPITALE+PAESE+RISPOSTA+(RAGGIUNGERE+FUTURO)+(CONSEGNARE+FUTURO)+(PORTARE+FUTURO)+VINCITORE
i sette concorrenti si schierarono quindi in piazza e ricevettero, tutti nello stesso momento, la famosa lettera da recapitare a molte miglia di distanza.||||SETTE+CONCORRENTI+PIAZZA+LETTERA+FAMOSA+MIGLIA+DISTANZA+(SCHIERARSI+PASSATO)+(RICEVERE+PASSATO)
mussadal aveva già strofinato i due peli delle sopracciglia del terzo folletto, che gli era subito apparso al fianco e si era nascosto sotto il suo mantello.||||MUSSADAL+DUE+PELI+SOPRACCIGLIA+TERZO+FOLLETTO+(STROFINARE+PASSATO)+(APPARIRE+PASSATO)+(NASCONDERSI+PASSATO)
ad un cenno del re tutti partirono.||||RE+CENNO+TUTTI+(PARTIRE+PASSATO)
quando ebbero lasciato la città, il folletto disse: fermati, mussadal, perché devo mangiare.||||FOLLETTO+CITTÀ+MUSSADAL+(FERMARE+PASSATO)+(LASCIARE+PASSATO)+MANGIARE+(DOVERE+PRESENTE)
ma gli altri guadagneranno troppo tempo! obiettò il giovane.||||ALTRI+TEMPO+TROPPO+(GUADAGNARE+FUTURO)
non ti preoccupare! io lavoro solo a stomaco pieno.||||NON+PREOCCUPARE+LAVORARE+STOMACO+PIENO
accompagnami a questa osteria che sta sulla nostra strada.||||ACCOMPAGNARE+OSTERIA+STRADA+NOSTRA
era bene accontentarlo.||||(ACCONTENTARE+PASSATO)
il folletto mangiò e bevve abbondantemente, a spese di mussadal si capisce, poi gli raccomandò di restare lì ad aspettarlo.||||FOLLETTO+MANGIARE+BERE+ABBONDANTE+SPESE+MUSSADAL+RESTARE+ASPETTARE+(RACCOMANDARE+PASSATO)
il giovane era molto preoccupato ma ebbe appena il tempo di mettersi a sedere sul ciglio della strada che il folletto era già tornato.||||GIOVANE+PREOCCUPATO+TEMPO+CIGLIO+STRADA+SEDERE+FOLLETTO+TORNARE+(AVERE+PASSATO)
rossana finse di essere lieta delle nozze col vecchio re, ma espresse il desiderio di farlo ringiovanire prima della cerimonia nuziale con un bagno miracoloso di cui lei sola possedeva il segreto.||||ROSSANA+VECCHIO+RE+LIETA+NOZZE+(PRESENTE)+FINGERE,+DESIDERIO+RINGIOVANIRE+RE+(FUTURO)+FARE,+BAGNO+MIRACOLOSO+SEGRETO+SOLO+LEI+AVERE
ordinò dunque che fosse preparato un gran calderone di sapone bollente, e poi invitò il vecchio a tuffarcisi dentro.||||CALDERONE+SAPONE+BOLLENTE+GRANDE+(PASSATO)+PREPARARE,+VECCHIO+CALDERONE+(FUTURO)+TUFFARSI+(PASSATO)+INVITARE
senza esitare, tutto preso dalla frenesia di ritornare fresco e bello come a diciotto anni, egli si tuffò nel calderone e morì all’istante. di lui non rimase che una gran saponata.||||FRENESIA+RITORNARE+FRESCO+BELLO+DICIOTTO+ANNI,+LUI+CALDERONE+(PASSATO)+TUFFARSI+(PRESENTE)+MORIRE,+LUI+(PRESENTE)+RIMANERE+SAPONATA+GRANDE
ed ora cosa diremo ai suoi sudditi? esclamò mussadal ancora travestito da damigella.||||ORA+DIRE+(FUTURO)+SUDDITI+CHE,+MUSSADAL+DAMIGELLA+(PRESENTE)+TRAVESTIRE+(PASSATO)+ESCLAMARE
lascia fare a me lo rassicuro rossana.||||LASCIA+FARE+(FUTURO)+IO,+ROSSANA+LO+RASSICURARE+(PASSATO)
gli suggerì di indossare abiti regali e mettersi barba e baffi finti. poi si sedette insieme a lui nella sala del trono e dette ordine che fossero fatti entrare tutti i cortigiani.||||ABLITI+REGALI+BARBA+BAFFI+FINTI+(PASSATO)+SUGGERIRE,+ROSANA+LUI+SALA+TRONO+(PASSATO)+SEDERE,+CORTIGIANI+ENTRARE+(FUTURO)+ORDINARE
ecco il vostro sovrano ringiovanito dal mio bagno magico! esclamò. ed ora celebriamo le nozze!||||ECCO+SOVRANO+RINGIOVANITO+BAGNO+MAGICO+MIO,+NOZZE+(FUTURO)+CELEBRARE,+(PASSATO)+ESCLAMARE
nessuno pensò che mussadal non fosse il vero re. tutti avevano aspettato con curiosità l’arrivo della bella rossana e l’effetto delle sue doti magiche, perciò nessuno si curò di sapere dove fosse finito mussadal.||||MUSSADAL+RE+NON+ESSERE+(PASSATO)+PENSARE,+TUTTI+BELLA+ROSSANA+ARRIVO+DOTI+MAGICHE+SUOI+(PRESENTE)+ASPETTARE,+MUSSADAL+DOVE+FINIRE+NESSUNO+SAPERE+(PASSATO)+CURARE
neanche il visir sospettò che il cacciatore di animali da pelliccia e il suo sovrano ringiovanito fossero la stessa persona. d’altronde la saggia rossana suggerì al marito di inviarlo subito come governatore supremo in una lontana provincia del reame.||||VISIR+CACCIATORE+ANIMALI+PELLICCIA+SOVRANO+RINGIOVANITO+STESSA+PERSONA+NON+ESSERE+(PASSATO)+SOSPETTARE,+ROSSANA+SAGGIA+MARITO+GOVERNATORE+SUPREMO+PROVINCIA+LONTANA+REALM+(PASSATO)+INVIARE+(PASSATO)+SUGGERIRE
i due giovani sposi vissero felici e contenti ed ebbero molti figli. di tanto in tanto, però, mussadaldecide di mandare per la strada che conduce al reame di taruapai greggi di pecore, schiere di cammelli, branchi di bufali, e di lasciarli lì, del tutto incustoditi.||||SPOSI+GIOVANI+DUE+FELICI+CONTENTI+FIGLI+MOLTI+(PASSATO)+VIVERE,+MUSSADAL+STRADA+REAME+TARUAPAI+GREGGI+PECORE+SCHIERE+CAMMELLI+BRANCHI+BUFALI+(FUTURO)+MANDARE+LASCARE+INCUSTODITI
soltanto mussadal lo sapeva e stava zitto, perché intendeva serbare gratitudine eterna ai suoi tre amici: i folletti mangioni.||||SOLO+MUSSADAL+SAPERE+(PRESENTE)+STARE+ZITTO,+INTENDERE+GRATITUDINE+ETERNA+TRE+AMICI+SUOI+FOLLETTI+MANGIONI+(PASSATO)
in un grande bosco c'era una grotta buia e molto umida, nella quale viveva un piccolo folletto con il suo inseparabile flauto.||||BOSCO+GRANDE+GROTTA+BUIA+UMIDA+MOLTO+FOLLETTO+PICCOLO+FLAUTO+INSEPARABILE+VIVERE+(PASSATO)
in un giorno di pioggia entrò per riposarsi una giovane fanciulla che si era persa per i sentieri del bosco.||||GIORNO+PIOGGIA+FANCIULLA+GIOVANE+ENTRARE+(PASSATO)+SENTIERI+BOSCO+PERDERSI+(PASSATO)+RIPOSARSI+(PASSATO)
dopo essersi riposata, la fanciulla si accorse di essere osservata...||||FANCIULLA+RIPOSARSI+(PASSATO)+ACCORGERE+(PASSATO)+ESSERE+OSSERVATO+(PASSATO)
il folletto uscì dall'oscurità ed iniziò a suonare il suo flauto magico, in quel preciso istante smise di piovere||||FOLLETTO+USCIRE+(PASSATO)+OSCURITÀ+INIZIARE+(PASSATO)+SUONARE+(FLAUTO+MAGICO)+QUEL+ISTANTE+SMETTERE+(PASSATO)+PIOVERE
e spuntò nel cielo un magnifico arcobaleno.||||CIELO+SPUNTARE+(PASSATO)+ARCOBALENO+MAGNIFICO
la fanciulla così potè ritrovare la strada per uscire dal bosco e ritornare a casa.||||FANCIULLA+POTERE+(PASSATO)+RITROVARE+(STRADA)+USCIRE+(BOSCO)+RITORNARE+(CASA)
non disse a nessuno della sua avventura, ma tenne per sé il segreto, così a volte tornava nella caverna per ascoltare la musica soave del suo nuovo amico.||||FANCIULLA+DIRE+(PASSATO)+AVENTURA+SEGRETAMENTE+SEGRETO+TENERE+(PASSATO)+VOLTE+TORNARE+(PASSATO)+CAVERNA+ASCOLTARE+(MUSICA+SOAVE)+AMICO+NUOVO+FREQUENTARE+(IMPLICITO+NEL+TORNARE+NELLA+CAVERNA)
c'era una volta un giovane pompiere che amava talmente tanto il suo lavoro che non tornava mai a casa: dormiva, mangiava, sempre in caserma.||||GIOVANE+POMPIERE+LAVORO+AMARE+(PASSATO)+CASA+NON+TORNARE+(PASSATO)+DORMIRE+(PASSATO)+MANGIARE+(PASSATO)+CASERMA
un giorno mentre era in caserma a mettere in ordine tutti gli attrezzi insieme alla sua squadra, suonò l'allarme.||||GIORNO+CASERMA+ATTREZZI+ORDINARE+(PASSATO)+SQUADRA+ALLARME+SUONARE+(PASSATO)
usciti dalla caserma arrivarono dinnanzi ad una casa in fiamme, al quarto piano intrappolato nella stanza in fiamme c'era un cucciolo di cane.||||CASERMA+USCIRE+(PASSATO)+CASA+FIAMME+ARRIVARE+(PASSATO)+QUARTO+PIANO+STANZA+FIAMME+INTRAPPOLARE+(PASSATO)+CUCCIOLO+CANE
il giovane pompiere senza alcun timore salì sulla scala anti incendio, raggiunse il quarto piano e sotto gli occhi stupiti dei suoi colleghi entrò nella stanza.||||GIOVANE+POMPIERE+TIMORE+NON+AVERE+(PASSATO)+SCALA+ANTI+INCENDIO+SALIRE+(PASSATO)+QUARTO+PIANO+RAGGIUNGERE+(PASSATO)+STANZA+ENTRARE+(PASSATO)
prese il cagnolino in spalla e tossendo per i fumi delle fiamme uscì illeso dalla finestra riportando a terra il cucciolo sano e salvo.||||CAGNOLINO+SPALLA+PRENDERE+(PASSATO)+FUMI+FIAMME+TOSSIRE+(PASSATO)+FINESTRA+USCIRE+(PASSATO)+CUCCIOLO+TERRA+PORTARE+(PASSATO)+SANARE+(PASSATO)+SALVARE+(PASSATO)
ci fu un'enorme parata per festeggiare il giovane "eroe", il sindaco fece un lunghissimo discorso e poi gli consegnò una medaglia per il suo coraggio.||||PARATA+ENORME+FESTEGGIARE+(PASSATO)+GIOVANE+"EROE"+SINDACO+DISCORSO+LUNGO+FARE+(PASSATO)+MEDAGLIA+CORAGGIO+CONSEGNARE+(PASSATO)
dato che il cucciolo salvato aveva perso nell'incendio i suoi padroni, da quel giorno divenne la "mascotte" della caserma dei pompieri.||||CUCCIOLO+SALVARE+(PASSATO)+INCENDIO+PADRONI+PERDERE+(PASSATO)+GIORNO+QUANDO+CASERMA+POMPIERI+MASCOTTE+DIVENTARE+(FUTURO)
c’era una volta il figlio di un capotribù di carattere capriccioso e di umore sempre variabile.||||UNAVOLTA+FIGLIO+CAPOTRIBÙ+CARATTERE+CAPRICCIOSO+UMORE+VARIABILE+(PASSATO)
si stancava subito delle sue occupazioni, dei suoi trastulli, delle persone che lo circondavano.||||OCCUPAZIONI+TRASTULLI+PERSONE+STANCARE+(PASSATO)
aveva quasi sempre l’aria scontenta sebbene non gli mancasse nulla.||||ARIA+SCONTENTA+NULLA+MANCARE+(PASSATO)
un giorno di primavera, vinasciua, così si chiamava il giovane, sedeva su un prato verde.||||GIORNO+PRIMAVERA+VINASCIUAPRATO+VERDE+SEDERE+(PASSATO)
un dolce venticello gli portava alle narici i profumi della bella stagione.||||VENTICELLO+DOLCE+PROFUMI+PORTARE+(PASSATO)
tanti piccoli animali appena usciti dal lungo letargo facevano capolino fuori dalle loro tane.||||ANIMALI+PICCOLI+LETARGO+LUNGO+USCIRE+(PASSATO)
ogni essere vivente ed ogni cosa pareva rallegrarsi del tiepido sole.||||ESSEREVIVENTE+COSA+SOLE+TIEPIDO+RALLEGRARE+(PASSATO)
ma vinasciua non condivideva affatto la gioia di tutta la natura attorno a lui e sbadigliava.||||VINASCIUA+NATURA+GIOIA+NONCONDIVIDERE+(PASSATO)+SBADIGLIARE+(PASSATO)
d’un tratto il sussurro del vento divenne più forte e alle orecchie del giovane parve che il sussurro si tramutasse in parole:||||VENTO+SUSSURRO+DIVENTARE+FORTE+(PASSATO)
sono il vento dei desideri!||||IO+ESSERE+VENTODESIDERI
figlio che cosa vuoi?||||FIGLIO+CHE+COSA+VOLERE
figlio che cosa speri?||||FIGLIO+CHE+COSA+SPERARE
spero di non continuare ad annoiarmi tanto!||||NON+CONTINUARE+ANNOIARE+TANTO+SPERARE+(PASSATO)
non mi piace questa primavera così delicata.||||PRIMAVERA+DELICATA+NON+PIACERE+(PASSATO)
vorrei un bel sole forte che mi dorasse la pelle; vorrei nuotare nell’acqua del ruscello e non star qui seduto ad aspirar profumi come una fanciulla!||||SOLE+FORTE+DORARE+(FUTURO)+PELLE+NUOTARE+(FUTURO)+ACQUA+RUSCELLO+NON+SEDERE+ASPIRARE+PROFUMI+FANCIULLA
vorrei che fosse estate!||||ESTATE+ESSERE+(FUTURO)
sei ben sicuro di volere subito l’estate?||||ESTATE+SUBITO+VOLERE+(PASSATO)
sicurissimo!||||SICURISSIMO
allora il vento dei desideri si fece più forte, sempre più forte.||||VENTODESIDERI+DIVENTARE+FORTE+(PASSATO)
afferrò il giovane come in un turbine e lo fece girare, girare, girare su se stesso a velocità pazzesca.||||GIOVANE+AFFERRARE+(PASSATO)+TURBINE+GIRARE+(PASSATO)
lo fece girare per ore, giorni, notti, settimane, mesi, finché non fu improvvisamente estate.||||GIRARE+(PASSATO)+ORE+GIORNI+NOTTI+SETTIMANE+MESI+ESTATE+ESSERE+(PASSATO)
come uscisse da un sonno profondo, vinasciua aprì gli occhi.||||VINASCIUA+SONNO+PROFONDO+USCIRE+(PASSATO)+OCCHI+APRIRE+(PASSATO)
il sole era caldo, le piante intorno erano di un verde intenso.||||SOLE+CALDO+PIANTE+VERDE+INTENSO+ESSERE+(PASSATO)
una sorgente, accanto a lui, gettava acqua cristallina che formava un ruscello limpidissimo.||||SORGEN...
il brontolio del tuono si fece più cupo che mai.||||BRONTOLIO+TUONO+(PASSATO)+DIVENTARE+CUPIDO+MAI
ma non era un tuono, no: era davvero una valanga che precipitava dall’alto.||||MA+NON+ESSERE+TUONO+NO+ESSERE+DAVVERO+VALANGA+(PASSATO)+PRECIPITARE+ALTO
mentre il brontolio si trasformava in voce che diceva:||||MENTRE+BRONTOLIO+(PASSATO)+TRASFORMARE+VOCE+(PASSATO)+DIRE
sono la valanga dei desideri!||||IO+ESSERE+VALANGA+DESIDERI+POI
figlio che cosa vuoi?||||FIGLIO+COSA+VOLERE(TU)?
figlio che cosa speri?||||FIGLIO+COSA+SPERARE(TU)?
sempre le stesse parole!||||SEMPRE+STESSO+PAROLE!
cosa vuoi mai che io speri, se non di cambiare, quando le cose non mi vanno?||||COSA+VOLERE(TU)+MAI+IO+SPERARE+SE+NON+CAMBIARE+QUANDO+COSE+NON+ANDARE(IO)?
e poi non mi piace sentirmi trattare come un bambino capriccioso.||||E+POI+NON+PIACERE(IO)+SENTIRE(IO)+TRATTARE+COME+BAMBINO+CAPRICCIOSO
vorrei. vorrei avere più anni! vorrei essere più vecchio!||||VORREI+AVERE+PIÙ+ANNI+VORREI+ESSERE+PIÙ+VECCHIO
non fece in tempo a pronunciare queste parole che la valanga gli piombò addosso e lo fece rotolare in mezzo a un gran mucchio di neve.||||NON+(PASSATO)+FARE+TEMPO+PRONUNCIARE+QUESTO+PAROLE+CHE+VALANGA+GLI+(PASSATO)+PIOVVERE+ADDOSSO+LUI+(PASSATO)+FARE+ROTOLARE+MEZZO+GRANDE+MUCCHIO+NEVE
rotolare, rotolare, rotolare a velocità pazzesca.||||ROTOLARE+ROTOLARE+ROTOLARE+VELOCITÀ+PAZZESCO
lo fece rotolare per ore, giorni, notti, settimane, mesi, senza mai fermarsi, e alla fine lo lasciò in fondo a una specie di pozzo le cui pareti erano le mura.||||LUI+(PASSATO)+FARE+ROTOLARE+ORE+GIORNI+NOTTI+SETTIMANE+MESI+MAI+FERMARE+ALLA+FINE+LUI+(PASSATO)+LASCIARE+FONDO+SPECE+POZZO+PARETI+MURO
tutto era grigio come le pietre disseminate per terra.||||TUTTO+ESSERE+GRIGIO+COME+PIETRE+DISSEMINARE+TERRA
ma sono vecchio!||||MA+IO+ESSERE+VECCHIO
possibile che il tempo sia passato così presto?||||POSSIBILE+TEMPO+(PASSATO)+PASSARE+COSÌ+PRESTO
sì, purtroppo è possibile.||||SÌ+PURTROPPO+ESSERE+POSSIBILE
e non posso più esprimere desideri?||||E+NON+POTERE(IO)+PIÙ+ESPRIMERE+DESIDERI
di che desiderio si tratta?||||DI+CHE+DESIDERIO+TRATTARE
vorrei non avere più fretta, vorrei accontentarmi del tempo che passa come più gli piace, con tutto quello che porta con sé.||||VORREI+NON+AVERE+PIÙ+FRETTA+VORREI+ACCONTENTARE(IO)+TEMPO+CHE+PASSARE+COME+PIÙ+PIACERE+TUTTO+CHE+PORTARE+CON+SÉ
la valanga dei desideri lo abbracciò di nuovo nella sua stretta forte e avvolgente e di nuovo lo fece rotolare, rotolare, rotolare senza mai fermarsi.||||VALANGA+DESIDERI+LUI+(PASSATO)+ABBRACCIARE+NUOVO+STRETTA+FORTE+AVVOLGERE+NUOVO+LUI+(PASSATO)+FARE+ROTOLARE+ROTOLARE+ROTOLARE+MAI+FERMARE
vinasciua si ritrovò giovinetto su un prato ad ascoltare il sussurro del vento di primavera.||||VINASCIUA+(PASSATO)+RITROVARE+GIOVANOTTO+SU+PRATO+ASCOLTARE+SUSSURRO+VENTO+PRIMAVERA
era come se tutto non fosse mai successo.||||ESSERE+COME+SE+TUTTO+NON+ESSERE+MAI+SUCCESSO
e ora, si ricordava l’impazienza di quel giorno lontano?||||E+ORA+RICORDARE(IO)+IMPAZIENZA+QUELLO+GIORNO+LONTANO
